Keys,Comment,English,Japanese,Spanish,German,French,Polish,GlasgowScottish
laboratory_tutorial_1_text_8_faradaydo,,Okay; now we have a rechargable battery; we are ready to do another rescue mission! ,,,,,,
laboratory_tutorial_1_text_9_general,,Tap on this toy model of Sugra</br>to go to the map screen view,,,,,,
,Lab 2,,,,,,,
laboratory_tutorial_2_text_1_faradaydo,,You can make almost anything with the Make-O-Matic!,,,,,,
laboratory_tutorial_2_text_2_faradaydo,,Use the Make-O-Matic to build Re-chargable Batterys for the Rescue Missions.,,,,,,
laboratory_tutorial_2_text_3_faradaydo,,You can build Power Connectors with the Make-O-Matic.,,,,,,
laboratory_tutorial_2_text_4_faradaydo,,Hey! Remember to pet Madra from time to time; he likes it!,,,,,,
laboratory_tutorial_2_text_5_faradaydo,,Oh I am just hanging around here; you know; tinkering with my machines...,,,,,,
laboratory_tutorial_2_text_6_faradaydo,,Those miners need to be rescued!,,,,,,
laboratory_tutorial_2_text_7_faradaydo,,Why yes I do have a fine mustache; thank you very much!,,,,,,
laboratory_tutorial_2_text_8_faradaydo_requirementsnotmet,,You need to build {X MACHINE} and {Y MACHINE} before you can do the mission.,,,,,,
laboratory_tutorial_2_text_1_cora,,Tap on the map to do rescue missions!,,,,,,
laboratory_tutorial_2_text_2_cora_requirementsnotmet,,You need to build {X MACHINE} and {Y MACHINE} before you can do the mission.,,,,,,
laboratory_tutorial_2_text_3_cora,,To earn 3 stars; you need to complete the rescue by using the least amount of moves possible!,,,,,,
laboratory_tutorial_2_text_4_cora,,Tee-Hee! Yes I love my hair too; it is sooooo big and pretty!,,,,,,
laboratory_tutorial_2_text_5_cora,,Did you know that Faradaydo is one of the smartest toys on Sugra? He invented the Re-chargable Battery!,,,,,,
laboratory_tutorial_2_text_6_cora,,Madra is my favourite puppy; but I do miss the others!,,,,,,
laboratory_tutorial_2_text_7_cora,,I helped Faradaydo build this place. We have been here for so long now; almost 400 years!,,,,,,
laboratory_tutorial_2_text_8_for_lab_visit_02_cora,,Tap on the map for the next mission!,,,,,,
laboratory_text_garage_miner_1_1,,So this is the Toy Lazarus! Cora told me Faradaydo built it using recycled machine parts!  ,,,,,,
laboratory_text_garage_miner_1_2,,The Toy Lazarus replaces old batteries with new rechargable batteries on any toy. ,,,,,,
laboratory_text_garage_miner_1_3,,I would be tentacle food if Cora and her team did not rescue me! Thank the great toy maker they did! ,,,,,,
,Level 1,,,,,,,
level_1_text_1_Cora,,Oh no! That alien tentacle took my little doggy's power! Don’t worry Madra; I will rescue you!,,,,,,
level_1_text_1_General,,Tap on the toy to collect him.,,,,,,
level_1_text_2_General,,Each action costs 1 move,,,,,,
level_1_text_3_General,,Slide the trolley to move it,,,,,,
level_1_text_4_General,,Slide to the using only 4 more moves!,,,,,,
,Level 02,,,,,,,
level_2_text_1_Cora,,Look Madra! A Miner Toy! Come and help me rescue him from those power draining tentacles! ,,,,,,
level_2_text_1_General,,You have a new toy! Tap on Madra to select him...,,,,,,
level_2_text_2_General,,Madra destroys Tentacles. Tap on that Tentacle to attack it...,,,,,,
level_2_text_3_General,DELETED,Tap on the Tentacle again when the red line is in the green box...,,,,,,
level_2_text_4_General,,Tap on the toy to rescue him with Cora...,,,,,,
level_2_text_5_General,,Bring the Toy back to the exit area...,,,,,,
level_2_text_6_General,Not used,Tap Madra; then tap a free grid square to move him out of the way. ,,,,,,
,Level 03,,,,,,,
level_3_text_1_Cora,,Hey; look - another drained Miner Toy! Maybe he's seen Faradaydo?,,,,,,
level_3_text_2_General,,Try to complete the mission using only 3 moves. Walking is free; rolling the trolley costs 1 move.,,,,,,
level_3_text_3_condition_True_Cora,,Wow! I think that was the shortest rescue mission I ever did! ,,,,,,
level_3_text_3_condition_False_Cora,,I think we could have taken</br>a shorter path in this rescue! ,,,,,,
,Level 04,,,,,,,
level_4_text_1_Cora,,Look Madra; it's Faradaydo! ,,,,,,
level_4_text_2_Cora,,Oh no... it looks like the Tentacles got him too! We have to rescue him!,,,,,,
level_4_text_3_Madra,,Rrrrrrruff!,,,,,,
,Level 05,,,,,,,
level_5_text_1_Cora,,Look Faradaydo; another Miner! Those mean Tentacles have the miner trapped behind those rocks. I'm glad you're here!,,,,,,
level_5_text_2_Faradaydo,,Indeed! Give me a moment to clear the rocks so we can get that miner out of there.,,,,,,
level_5_text_1_General,,Tap on this type of rock to destroy it...,,,,,,
,Level 06,,,,,,,
level_6_text_1_Faradaydo,,Hmm; there are quite a few rocks in this section of the mine. Good thing I came fully charged!,,,,,,
level_6_text_2_Cora,,Ok; let's do this!,,,,,,
level_6_text_4_General,,This level is timed...try to do it in under 45 seconds! ,,,,,,
,Level 07,,,,,,,
level_7_text_1_Faradaydo,,You know; I kind of like that green colour of the tentacles…it brightens up these mines!,,,,,,
level_7_text_2_Cora,,I think Madra likes them too; but only for eating!,,,,,,
,Level 08,,,,,,,
level_8_text_1_Cora,,You will help me rescue this Miner; right Madra?,,,,,,
level_8_text_2_Cora,,Oh no! The trolley won’t stop! Madra; help me! ,,,,,,
level_8_text_3_General,,Place Madra in the location shown to stop Cora‘s trolley,,,,,,
level_8_text_4_Cora,,Thanks Madra! Stay close; I might need you again!,,,,,,
level_8_text_5_General,,Use             as an object to help Cora reach the,,,,,,
level_8_text_6_General,,Slide Cora into Madra,,,,,,
,Level 09,,,,,,,
level_9_text_1_Cora,,Same problem as last time Madra; except now we've also got Tentacles to deal with!,,,,,,
level_9_text_2_Cora,,I hope you're hungry!,,,,,,
level_9_text_3_Madra,,Rrrrrrruff!,,,,,,
,Level 10,,,,,,,
level_10_text_1_Cora,,Faradaydo; when you've finished clearing those rocks I'll need some help in order to rescue that Miner!,,,,,,
level_10_text_2_Faradaydo,,Good thing I've got brains AND brawn!,,,,,,
,Level 11,,,,,,,
level_11_text_1_Cora,,Over here Faradaydo! I found Jose Railway!  ,,,,,,
level_11_text_2_Faradaydo,,Surprise surprise; those tentacles got him too! I'm impressed he made it this far without his train! ,,,,,,
,Level 12,,,,,,,
level_12_text_1_Faradaydo,,We're too far from the Laboratory to power the Toy Lazarus! If we're to rescue that Miner; we'll need a new power source!,,,,,,
level_12_text_2_Cora,,That big battery would work; right?,,,,,,
level_12_text_3_Faradaydo,,Well spotted; Cora! I shall connect the power post-haste!,,,,,,
level_12_text_1_General,,Tap on Faradaydo to display his tools...,,,,,,
level_12_text_2_General,,Select the power connector in the corner to place it in the level...,,,,,,
level_12_text_3_General,,Drag to place it as shown ...,,,,,,
level_12_text_4_General,,Tap on the Power Connector to rotate it...,,,,,,
level_12_text_5_General,,Tap on the green button to confirm your action and build the Power Connector...,,,,,,
level_12_text_4_Faradaydo,,Good! The power is connected!,,,,,,
level_12_text_5_Cora,,Come on Madra; let's rescue that Miner!,,,,,,
,Level 13,,,,,,,
level_13_text_1_Faradaydo,,Madra my dear boy; would you kindly remove those tentacles so that I can properly set up my power connector?,,,,,,
level_13_text_2_Madra,,Woof!,,,,,,
,Level 14,,,,,,,
level_14_text_1_Cora,,What a mess!,,,,,,
level_14_text_2_Faradaydo,,We can handle it!,,,,,,
,Level 15,,,,,,,
level_15_text_1_Cora,,Hmm; this looks tricky!,,,,,,
level_15_text_2_Faradaydo,,Indeed! We'll have to use all the skills at our disposal!,,,,,,
level_15_text_3_Madra,,Grrrrr!,,,,,,
,Level 16,,,,,,,
level_16_text_1_Faradaydo,,It seems I did not bring any power connectors with me this time Cora! ,,,,,,
level_16_text_2_Cora,,Hmm... maybe we could find one around here somewhere?,,,,,,
level_16_text_3_Faradaydo,,I will check behind rocks and see if I can see one! After you rescue the miner that of course!  ,,,,,,
,Level 17,,,,,,,
level_17_text_1_Cora,,I'm pretty sure this Miner needs our help!,,,,,,
level_17_text_2_Faradaydo,,A fair assessment.,,,,,,
,Level 18,,,,,,,
level_18_text_1_Faradaydo,,Hmm; the existing power connectors in this mine may complicate the process of connecting the power. We should consider this carefully.,,,,,,
level_18_text_2_Cora,,Whatever you say!,,,,,,
,Level 19,,,,,,,
level_19_text_1_Faradaydo,,This mine is particularly cramped! There's barely room for a power connector,,,,,,
level_19_text_2_Cora,,I'd better get that Miner to safety first then!,,,,,,
,Level 20,,,,,,,
level_20_text_1_Cora,,So many Miners in trouble... if only they'd listened to you; Faradaydo!,,,,,,
level_20_text_2_Faradaydo,,Hmm. There's no changing what's already happened; Cora. All we can do is learn from this and move on!,,,,,,
,Level 21,,,,,,,
level_21_text_1_Cora,,This is hard work! You deserve a nice chewy bone when we finish with all this; Madra!,,,,,,
level_21_text_2_Madra,,Arrrrrrruff!,,,,,,
,Level 22,,,,,,,
level_22_text_1_Cora,,All this digging machinery is very impressive; Faradaydo! You really designed them by yourself?,,,,,,
level_22_text_2_Faradaydo,,Indeed. If only I'd spent more time on finding a different energy solution...,,,,,,
level_22_text_3_Cora,,Oh; you couldn't have known what would happen back then!,,,,,,
,Level 23,,,,,,,
level_23_text_1_Cora,,This mine gives me the creeps!,,,,,,
,Level 24,,,,,,,
level_24_text_1_Cora,,Huh; well this is confusing...,,,,,,
level_24_text_2_Faradaydo,,Quite the opposite! Observe!,,,,,,
,Level 25,,,,,,,
level_25_text_1_Cora,,I think I see the Power Motor over there! Is it big and red?  ,,,,,,
level_25_text_2_Faradaydo,,Yes I think Boz said so...I couldn't quite understand him! Let's get over there and take a look! ,,,,,,
level_25_text_3_Cora,,We might need to replace its battery; so lets connect that battery to the power light too! ,,,,,,
,Map 1,,,,,,,
map_level_01_dialogue_01_Cora,,I need to find my little doggy Madra and my friend Faradaydo!  Let’s start at the first area! ,,,,,,
map_level_02_dialogue_01_Cora,,My little doggy Madra is rescued! Wahoo! Let’s keep searching; we have to find Faradaydo!,,,,,,
map_level_03_dialogue_01_Miner,,Thanks for rescuing me and giving me a new battery! Who are you? ,,,,,,
map_level_03_dialogue_02_Cora,,My name is Cora! We are searching for our friend; Faradaydo. Can you help us?  ,,,,,,
map_level_03_dialogue_03_Miner,,Of course; I owe you my battery life! Let’s go into the next area;  maybe we will find your friend in there! ,,,,,,
map_level_04_dialogue_01_Miner,,My whole team must be down here! We have to save them from these...these...what are these tentacle things anyway? ,,,,,,
map_level_04_dialogue_02_Cora,,The tentacles are an evil alien growth; and they absorb electricity! Let’s find Faradaydo and he can tell you more about them!,,,,,,
map_lab_visit01_dialogue_01_Faradaydo,,Well done Cora! I went out to get some materials and I got attacked by the biggest tentacle I have ever seen!,,,,,,
map_lab_visit01_dialogue_02_Cora,,Madra helped too! And we saved some Miners along the way! ,,,,,,
map_lab_visit01_dialogue_03_Faradaydo,,Well played Cora! Now; let’s go back to the Lab. We need to make more Re-chargable batteries to rescue more Toys! ,,,,,,
map_minelevel_01_dialogue_01_Miner,First time mining level is loaded,Look! An old mining outpost! We could go there to gather the materials we need!,,,,,,
map_minelevel_01_dialogue_02_Faradaydo,,Great! We need those to build more rechargable batteries to save more toys! Let’s go mining!,,,,,,
map_level_05_dialogue_01_Faradaydo,,We should head back to the lab; to pick up a new rechargable battery for the next rescue mission. ,,,,,,
map_level_05_dialogue_01_Cora,,Right Faradaydo; what‘s the plan? ,,,,,,
map_level_05_dialogue_02_Faradaydo,,We need to find the main train line to get to the surface of Sugra! Let's keep moving until we find it!  ,,,,,,
,Tutorial Mining Level,,,,,,,
minelevel_01_tutorialdialogue_01_Miner,,Look there! Some metal and plastic rocks! Let’s mine them and gather materials!,,,,,,
minelevel_01_tutorialdialogue_02_Faradaydo,,Yes and there is a rare Techno Egg! It contains precious baby Techno-Vines; which we need to make re-chargable batteries!,,,,,,
minelevel_01_tutorialdialogue_03_General,,Tap these objects to mine their resources. ,,,,,,
minelevel_01_tutorialdialogue_04_General,,Then move all toys to</br>the exit to leave the mine...,,,,,,
minelevel_01_tutorialdialogue_05_General,,All ore rocks cleared! </br>Move all characters to the exit!,,,,,,
minelevel_02_tutorialdialogue_01_Boz,,Boz Smaaaash Rocks!,,,,,,
,Map Dialogue Prior to Lab Visit 2,,,,,,,
map_labvisit_02_dialogue_01_Faradaydo,,Great job mining team! Let’s go back to the Lab and I will show you where we keep the materials…,,,,,,
,Lab Visit 2,,,,,,,
labvisit_02_dialogue_01_Faradaydo,,All  materials are kept in the factory. This is where we keep the plastic blocks. Materials are used to build machines! ,,,,,,
labvisit_02_dialogue_02_Faradaydo,,This is where we store the baby techno vines. They are very rare! ,,,,,,
labvisit_02_dialogue_03_Faradaydo,,Fresh re-chargable batteries are stored here. ,,,,,,
labvisit_02_dialogue_04_Miner,,Wait! You keep pieces from those dangerous tentacles here in the Lab? That's so dangerous! ,,,,,,
labvisit_02_dialogue_05_Faradaydo,,But of course! We need them to make rechargable batteries! Now come on; we have more toys to rescue! ,,,,,,
,Map Dialogues after Lab 2 Visit,,,,,,,
